,Name,Gender,DOB,Occupation,Block/Village,District/city,State,PIN,NomineeName,NomineeRelation,NomineeAge,PolicyId,Insurer,Typeofcover,EffectiveDate,ExpiryDate,PremiumRate,PremiumMode,PolicyName,InsuranceCompany
4549,mohammad rahman,Male,1/3/1965,transport-moving,Akola,Ghaziabad,Uttar Pradesh,524407,noone,craft-repair,60,4549,Rahul,life insurance for one person,7/22/1999,7/7/2020,7.5%,online,jeevan umang,Bajaj Allianz Life Insurance Co. Ltd.
4550,RAVIKUMAR SAGGU,Male,10/10/1983,sales,jonai,Hyderabad,Arunachal Pradesh,585202,noone,machine-op-inspct,51,4550,Rahul,life insurance for one person,1/20/2014,7/7/2020,7.5%,online,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
4551,Murugesan M,Male,17349,prof-specialty,Amgaon,Chennai,Tamil Nadu,413304,noone,tech-support,42,4551,Rahul,life insurance for one person,6/16/2003,7/7/2020,7.5%,online,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
4552,MAHESH NAMBURI,Male,28596,handlers-cleaners,sonha,Hyderabad,Andhra Pradesh,394155,noone,other-service,30,4552,Ajay,life insurance for one person,3/7/2008,7/7/2020,7.5%,offline,Health insurance plan,Life Insurance Corporation of India
4553,mallapuraju nar,Male,7/16/1980,transport-moving,parner,Hyderabad,Andhra Pradesh,841236,noone,tech-support,33,4553,Ajay,life insurance for one person,12/2/2012,7/7/2020,7.5%,online,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
4554,Manoj Augustine,Male,5/28/1974,exec-managerial,nevasa,Tiruppur,Tamil Nadu,172030,noone,machine-op-inspct,43,4554,Praveen,life insurance for one person,1/24/2010,7/7/2020,5%,offline,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
4555,manoj sharma,Male,3/16/1992,handlers-cleaners,balkeshwar,kadapa,Andhra Pradesh,624201,noone,adm-clerical,35,4555,Ajay,life insurance for one person,9/16/2013,7/7/2020,7.5%,online,aadhar shila,HDFC Life Insurance Co. Ltd
4556,mn reddy,Male,7/7/1987,exec-managerial,rahata,Kurnool,Andhra Pradesh,843120,noone,other-service,35,4556,Rahul,life insurance for one person,5/25/2011,7/7/2020,6%,offline,aadhar shila,Max Life Insurance Co. Ltd.
4557,narayanaswamy m,Male,31624,craft-repair,indapur,Hyderabad,Andhra Pradesh,465669,noone,exec-managerial,47,4557,Praveen,life insurance for one person,11/30/1996,7/7/2020,7.5%,offline,jeevan umang,Max Life Insurance Co. Ltd.
4558,SANTHOSH KUMAR,Male,6/12/1974,other-service,kudal,Bangalore,Karnataka,764044,noone,adm-clerical,30,4558,suraj,life insurance for one person,8/21/2010,7/7/2020,6%,online,aadhar shila,HDFC Life Insurance Co. Ltd
4559,NAGA SURENDRA,Male,8/30/1982,machine-op-inspct,bahadurpur,Hyderabad,Andhra Pradesh,783134,noone,priv-house-serv,48,4559,Rahul,life insurance for one person,3/3/1997,7/7/2020,5%,offline,jeevan labh,Life Insurance Corporation of India
4560,prasad manne,Male,2/27/1982,adm-clerical,alikha,Yanam,Pondicherry,262122,noone,protective-serv,39,4560,Praveen,life insurance for one person,10/1/2001,7/7/2020,7.5%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
4561,mobi mohan,female,5/6/1987,prof-specialty,kudal,Trissur,Kerala,141105,noone,adm-clerical,26,4561,Rahul,life insurance for one person,1/2/2004,7/7/2020,5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
4562,ANSHUL MODI,Male,12/28/1982,transport-moving,dhola,MUNGAOLI,Madhya Pradesh,843324,noone,farming-fishing,48,4562,suraj,life insurance for one person,2/17/1995,7/7/2020,6%,online,term insurance with return,HDFC Life Insurance Co. Ltd
4563,jayaraman kumar,Male,27260,farming-fishing,bhokar,Vijayawada,Andhra Pradesh,635117,noone,sales,28,4563,Ajay,life insurance for one person,10/2/1992,7/7/2020,7.5%,online,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
4564,Mohamed Ismayil,Male,30835,transport-moving,alibag,Coimbatore,Tamil Nadu,535580,noone,transport-moving,45,4564,Rahul,life insurance for one person,12/22/2012,7/7/2020,6%,offline,aadhar shila,Max Life Insurance Co. Ltd.
4565,Afroz Mohammad,Male,12/6/1986,protective-serv,Amgaon,khammam,Andhra Pradesh,515581,noone,exec-managerial,30,4565,Ankit,life insurance for one person,6/19/1992,7/7/2020,5%,offline,jeevan umang,Max Life Insurance Co. Ltd.
4566,mohammed iliyas,Male,3/14/1984,armed-forces,jintur,Hyderabad,Andhra Pradesh,783347,noone,machine-op-inspct,34,4566,Ankit,life insurance for one person,7/15/2000,7/7/2020,6%,offline,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
4567,mohammed nazar,Male,29991,farming-fishing,pathardi,Thane,Maharashtra,852138,noone,armed-forces,49,4567,suraj,life insurance for one person,8/9/2003,7/7/2020,6%,online,sanchay,Max Life Insurance Co. Ltd.
4568,MOHAMMED KHAN,Male,7/28/1981,adm-clerical,jiwati,Thane,Maharashtra,506367,noone,transport-moving,45,4568,Rahul,life insurance for one person,3/11/2007,7/7/2020,5%,offline,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
4569,MOHAN ELURI,Male,1/26/1983,machine-op-inspct,nunhai,Guntur,Andhra Pradesh,387640,noone,priv-house-serv,46,4569,Ankit,life insurance for one person,3/4/2003,7/7/2020,6%,offline,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
4570,Ramesh M,Male,9/10/1972,sales,kalwan,Hyderabad,Andhra Pradesh,263148,noone,machine-op-inspct,30,4570,Praveen,life insurance for one person,7/23/2014,7/7/2020,7.5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
4571,RITESH MOHAN,Male,2/12/1986,tech-support,Etapalli,Bokaro,Jharkhand,412206,noone,other-service,51,4571,Ajay,life insurance for one person,7/11/1996,7/7/2020,6%,offline,jeevan umang,Life Insurance Corporation of India
4572,MOHAN SRINIVASA,Male,27526,priv-house-serv,korchi,Hyderabad,Andhra Pradesh,458118,noone,adm-clerical,49,4572,Ankit,life insurance for one person,1/23/1996,7/7/2020,7.5%,offline,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
4573,MUTHU MOHAN,Male,25642,craft-repair,dhandhupura,Hyderabad,Andhra Pradesh,834010,noone,transport-moving,28,4573,Ajay,life insurance for one person,12/25/2013,7/7/2020,6%,offline,Term Insurance,Max Life Insurance Co. Ltd.
4574,MOHAN PATIDAR,Male,10/5/1982,prof-specialty,Achhnera,Silvasa,Nagar Haveli,796901,noone,machine-op-inspct,48,4574,suraj,life insurance for one person,12/2/2011,7/7/2020,7.5%,offline,jeevan umang,Max Life Insurance Co. Ltd.
4575,Mohan Krishna,Male,6/9/1981,other-service,kurla,Hyderabad,Andhra Pradesh,333035,noone,tech-support,30,4575,Praveen,life insurance for one person,3/5/2009,7/7/2020,6%,online,Life Uday,HDFC Life Insurance Co. Ltd
4576,Mohan kumar,Male,7/21/1985,machine-op-inspct,jasra,Tiruchchirapalli,Tamil Nadu,140601,noone,machine-op-inspct,30,4576,Ankit,life insurance for one person,9/25/2001,7/7/2020,7.5%,online,sanchay,Life Insurance Corporation of India
4577,mohan godbole,Male,31441,other-service,kalwan,Jamshedpur,Jharkhand,415611,noone,other-service,40,4577,Praveen,life insurance for one person,2/8/1990,7/7/2020,6%,online,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
4578,Priya Dharshini,Female,2/7/1984,tech-support,lakhandur,Chennai,Tamil Nadu,222003,noone,other-service,43,4578,suraj,life insurance for one person,6/22/2009,7/7/2020,6%,offline,Term Insurance,Life Insurance Corporation of India
4579,MOHANACHANDRAN,Male,10/18/1983,other-service,sonha,Kochi,Kerala,242221,noone,transport-moving,20,4579,suraj,life insurance for one person,6/10/2001,7/7/2020,6%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
4580,Adiraju Devi kr,Male,6/2/1983,exec-managerial,chiplun,Secunderabad,Andhra Pradesh,571111,noone,protective-serv,46,4580,Rahul,life insurance for one person,3/30/1995,7/7/2020,7.5%,offline,jeevan anand,HDFC Life Insurance Co. Ltd
4581,MOHANASUNDARAM,Male,4/20/1980,craft-repair,pratappur,Chennai,Tamil Nadu,276124,noone,other-service,58,4581,suraj,life insurance for one person,11/8/2009,7/7/2020,7.5%,offline,Health insurance plan,Bajaj Allianz Life Insurance Co. Ltd.
4582,mohan babu,Male,3/30/1980,exec-managerial,kopargaon,ongole,Andhra Pradesh,506104,noone,priv-house-serv,26,4582,Ankit,life insurance for one person,11/23/1997,7/7/2020,5%,online,Term Insurance,Max Life Insurance Co. Ltd.
4583,MOHAN DHARAVATH,Male,6/15/1985,machine-op-inspct,Hingna,Warangal,Andhra Pradesh,581400,noone,protective-serv,33,4583,Ajay,life insurance for one person,3/9/1999,7/7/2020,6%,offline,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
4584,MOHAN GOPAL,Male,3/6/1977,machine-op-inspct,Etapalli,Chennai,Tamil Nadu,686583,noone,armed-forces,29,4584,suraj,life insurance for one person,3/1/1997,7/7/2020,7.5%,offline,sampoorna nivesh,Life Insurance Corporation of India
4585,Mohan Agrawal,Male,6/5/1987,handlers-cleaners,shrigonda,Varanasi,Uttar Pradesh,482003,noone,handlers-cleaners,28,4585,Rahul,life insurance for one person,3/21/1998,7/7/2020,5%,online,Sampoorna samridhi plus,Life Insurance Corporation of India
4586,mohan paithanka,Male,6/19/1980,handlers-cleaners,kaij,wardha,Maharashtra,573120,noone,protective-serv,35,4586,Praveen,life insurance for one person,7/27/2014,7/7/2020,7.5%,online,jeevan labh,Bajaj Allianz Life Insurance Co. Ltd.
4587,DURAI MOHANA GO,Male,11/20/1981,sales,karjat,Tirunelveli,Tamil Nadu,413522,noone,tech-support,30,4587,Rahul,life insurance for one person,12/13/1993,7/7/2020,7.5%,online,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
4588,mohanraj krishn,Male,6/7/1983,prof-specialty,borivali,Bangalore,Karnataka,835232,noone,prof-specialty,24,4588,Praveen,life insurance for one person,9/12/2001,7/7/2020,7.5%,online,term insurance with return,Life Insurance Corporation of India
4589,mohan rao,Male,8/20/1983,farming-fishing,Achhnera,chirala,Andhra Pradesh,689512,noone,machine-op-inspct,24,4589,Ankit,life insurance for one person,9/13/2003,7/7/2020,5%,online,jeevan labh,HDFC Life Insurance Co. Ltd
4590,mohan sai,Male,3/14/1987,armed-forces,chaka,Nellore,Andhra Pradesh,335001,noone,sales,28,4590,Rahul,life insurance for one person,12/2/2012,7/7/2020,6%,online,jeevan labh,Bajaj Allianz Life Insurance Co. Ltd.
4591,Gauranga Mohant,Male,7/7/1969,craft-repair,baad,Jharsuguda,Orissa,606702,noone,other-service,31,4591,Rahul,life insurance for one person,5/29/1995,7/7/2020,6%,offline,aadhar shila,Life Insurance Corporation of India
4592,MOHAN THOMBRE,Male,22360,prof-specialty,lakhni,Nagpur,Maharashtra,431803,noone,handlers-cleaners,21,4592,Rahul,life insurance for one person,8/17/1994,7/7/2020,5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
4593,Prasan Mohanty,Male,29362,armed-forces,kopargaon,Kolkata,West Bengal,411048,noone,craft-repair,43,4593,Praveen,life insurance for one person,9/28/2007,7/7/2020,5%,online,term insurance with return,HDFC Life Insurance Co. Ltd
4594,raj mohanty,Male,30219,armed-forces,kagal,Noida,Uttar Pradesh,312206,noone,exec-managerial,31,4594,suraj,life insurance for one person,2/22/1994,7/7/2020,5%,offline,Term Insurance,ICICI Prudential Life Insurance Co. Ltd
4595,Mohd Ishtyaq,Male,3/5/1982,machine-op-inspct,meja,Ghaziabad,Uttar Pradesh,757034,noone,protective-serv,44,4595,Ajay,life insurance for one person,2/18/1999,7/7/2020,7.5%,offline,term insurance with return,HDFC Life Insurance Co. Ltd
4596,MOHAMED SIRAJ,Male,31211,sales,kopargaon,Chennai,Tamil Nadu,134118,noone,prof-specialty,33,4596,Praveen,life insurance for one person,4/21/2014,7/7/2020,6%,offline,Health insurance plan,Life Insurance Corporation of India
4597,Mohammed Niyaz,Male,10/23/1983,machine-op-inspct,Hingna,Mangalore,Karnataka,802217,noone,tech-support,32,4597,Praveen,life insurance for one person,12/11/2009,7/7/2020,6%,offline,jeevan umang,Bajaj Allianz Life Insurance Co. Ltd.
4598,mohit gaur,Male,3/8/1985,tech-support,shevgaon,Bareilly,Uttar Pradesh,276201,noone,exec-managerial,23,4598,Praveen,life insurance for one person,3/8/1995,7/7/2020,7.5%,offline,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
4599,mohit pratap,Male,6/12/1987,machine-op-inspct,nunhai,Nainital,Uttaranchal,262122,noone,handlers-cleaners,39,4599,Ajay,life insurance for one person,12/2/2011,7/7/2020,6%,offline,term insurance with return,HDFC Life Insurance Co. Ltd
4600,mohit sabharwal,Male,32501,machine-op-inspct,banda,Bangalore,Karnataka,143519,noone,craft-repair,37,4600,Rahul,life insurance for one person,9/29/1999,7/7/2020,5%,offline,jeevan anand,Bajaj Allianz Life Insurance Co. Ltd.
4601,Mohit Yadav,Male,7/12/1976,craft-repair,alibag,Bhopal,Madhya Pradesh,742140,noone,exec-managerial,30,4601,Ajay,life insurance for one person,6/16/2006,7/7/2020,7.5%,online,sanchay,Life Insurance Corporation of India
4602,MOHIT VERMA,Male,4/17/1984,adm-clerical,borivali,Patna,Bihar,241203,noone,tech-support,25,4602,Rahul,life insurance for one person,12/31/2012,7/7/2020,7.5%,offline,jeevan umang,Life Insurance Corporation of India
4603,MOHIT MANDAL,Male,3/17/1988,protective-serv,chamrauli,Cuttack,Orissa,811313,noone,exec-managerial,59,4603,suraj,life insurance for one person,3/14/1995,7/7/2020,7.5%,offline,term insurance with return,Life Insurance Corporation of India
4604,MOHIT BIRLA,Male,5/21/1986,sales,mahur,Hyderabad,Andhra Pradesh,627424,noone,prof-specialty,50,4604,Praveen,life insurance for one person,8/28/1995,7/7/2020,5%,offline,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
4605,MOIHT DHANDHARI,Male,5/29/1992,priv-house-serv,hadgaon,Ahmedabad,Gujarat,497229,noone,protective-serv,51,4605,Rahul,life insurance for one person,1/15/1992,7/7/2020,6%,offline,Term Insurance,HDFC Life Insurance Co. Ltd
4606,MOHIT GANDHI,Male,9/26/1982,transport-moving,jasra,Allahabad,Uttar Pradesh,326513,noone,farming-fishing,61,4606,Praveen,life insurance for one person,5/7/1990,7/7/2020,7.5%,online,aadhar shila,Max Life Insurance Co. Ltd.
4607,Mohit Garg,Male,30292,tech-support,dhandhupura,New Delhi,Delhi,176601,noone,tech-support,43,4607,Ankit,life insurance for one person,11/29/2004,7/7/2020,7.5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
4608,mohit ghai,Male,30879,priv-house-serv,alikha,Yamunanagar,Haryana,181133,noone,machine-op-inspct,26,4608,Ankit,life insurance for one person,7/8/1996,7/7/2020,5%,offline,Life Uday,HDFC Life Insurance Co. Ltd
4609,mohit jadon,Male,4/7/1988,transport-moving,balkeshwar,Allahabad,Uttar Pradesh,686578,noone,sales,35,4609,Rahul,life insurance for one person,6/6/2002,7/7/2020,6%,online,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
4610,mohit kumar,Male,10/20/1985,machine-op-inspct,chandarpur,Patna,Bihar,743331,noone,exec-managerial,37,4610,Ankit,life insurance for one person,11/11/1994,7/7/2020,7.5%,offline,Health insurance plan,HDFC Life Insurance Co. Ltd
4611,mohit roychowdh,Male,2/10/1968,prof-specialty,shrirampur,Siliguri,West Bengal,712407,noone,adm-clerical,56,4611,suraj,life insurance for one person,2/4/2013,7/7/2020,7.5%,online,Life Uday,HDFC Life Insurance Co. Ltd
4612,mohitkumar vash,Male,3/20/1986,farming-fishing,kagal,Sonepat,Haryana,754253,noone,transport-moving,25,4612,Ajay,life insurance for one person,7/1/2013,7/7/2020,6%,online,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
4613,Mohnit Ghosh,Male,10/3/1989,machine-op-inspct,kalwan,Dhanbad,Jharkhand,682315,noone,protective-serv,32,4613,suraj,life insurance for one person,8/21/1991,7/7/2020,5%,online,Pru Signature,Bajaj Allianz Life Insurance Co. Ltd.
4614,MOHUA SAHA,Female,2/24/1984,exec-managerial,dhandhupura,Hooghly,West Bengal,327604,noone,prof-specialty,36,4614,Rahul,life insurance for one person,5/6/2002,7/7/2020,5%,online,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
4615,MOHAN KRISHNAN,Male,11/5/1982,handlers-cleaners,medhava,Ariyalur,Tamil Nadu,581402,noone,exec-managerial,38,4615,Ajay,life insurance for one person,12/5/2009,7/7/2020,5%,online,jeevan labh,Life Insurance Corporation of India
4616,MOHAMED MOINUDD,Male,1/25/1984,handlers-cleaners,lakhni,Bangalore,Karnataka,455001,noone,handlers-cleaners,57,4616,Rahul,life insurance for one person,7/9/2013,7/7/2020,6%,offline,sanchay,HDFC Life Insurance Co. Ltd
4617,MOINUDDINANSARI,Male,39783,sales,deola,UT / NA,UT / NA,814103,noone,machine-op-inspct,33,4617,Ankit,life insurance for one person,12/2/2012,7/7/2020,7.5%,online,Sampoorna samridhi plus,Life Insurance Corporation of India
4618,sk raheman,Male,30888,handlers-cleaners,jasra,balasore,Orissa,583131,noone,tech-support,43,4618,Ajay,life insurance for one person,8/11/2007,7/7/2020,5%,online,sampoorna nivesh,Life Insurance Corporation of India
4619,MONICA FRANCES,Female,9/26/1981,prof-specialty,rahuri,Bangalore,Karnataka,391130,noone,machine-op-inspct,39,4619,suraj,life insurance for one person,9/28/1994,7/7/2020,5%,offline,jeevan umang,HDFC Life Insurance Co. Ltd
4620,Monali Sengupta,Female,33271,adm-clerical,mandi,Kolkata,West Bengal,231208,noone,protective-serv,26,4620,Ankit,life insurance for one person,8/10/2006,7/7/2020,6%,offline,jeevan labh,HDFC Life Insurance Co. Ltd
4621,Monalisa Nayak,Female,5/16/1990,handlers-cleaners,kagal,Bhubaneshwar,Orissa,365610,noone,transport-moving,63,4621,Ankit,life insurance for one person,3/8/2009,7/7/2020,6%,offline,aadhar shila,HDFC Life Insurance Co. Ltd
4622,SANDEEP MONDAL,Male,3/8/1988,craft-repair,medhava,Indore,Madhya Pradesh,721517,noone,other-service,38,4622,Rahul,life insurance for one person,7/16/1995,7/7/2020,5%,online,Health insurance plan,ICICI Prudential Life Insurance Co. Ltd
4623,Monica Hedda,female,10/2/1983,craft-repair,kopargaon,Latur,Maharashtra,486123,noone,sales,48,4623,suraj,life insurance for one person,2/18/2000,7/7/2020,7.5%,online,sanchay,ICICI Prudential Life Insurance Co. Ltd
4624,monica dialani,Female,12/23/1984,armed-forces,baad,Nashik,Maharashtra,307031,noone,handlers-cleaners,34,4624,Rahul,life insurance for one person,3/4/2006,7/7/2020,7.5%,online,jeevan anand,ICICI Prudential Life Insurance Co. Ltd
4625,Monica Manohara,Female,3/23/1986,adm-clerical,jafrabad,Chennai,Tamil Nadu,733215,noone,craft-repair,30,4625,Rahul,life insurance for one person,8/9/2002,7/7/2020,7.5%,online,jeevan anand,Life Insurance Corporation of India
4626,monika bhardwaj,Female,8/9/1983,prof-specialty,dhola,Mumbai,Maharashtra,735122,noone,sales,33,4626,Rahul,life insurance for one person,4/8/1991,7/7/2020,5%,online,Life Uday,ICICI Prudential Life Insurance Co. Ltd
4627,Mohan Siva Kuma,Male,6/4/1980,machine-op-inspct,jamkhed,Cuddapah,Andhra Pradesh,755016,noone,adm-clerical,33,4627,Ankit,life insurance for one person,9/7/1999,7/7/2020,6%,online,Health insurance plan,HDFC Life Insurance Co. Ltd
4628,prashant sharma,Male,1/21/1978,machine-op-inspct,saiyyan,Indore,Madhya Pradesh,733210,noone,farming-fishing,33,4628,Ajay,life insurance for one person,6/22/1990,7/7/2020,6%,offline,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
4629,MUKUND JAJOO,Male,32064,protective-serv,alikha,Mumbai,Maharashtra,788711,noone,sales,40,4629,Praveen,life insurance for one person,8/25/2011,7/7/2020,6%,offline,aadhar shila,Life Insurance Corporation of India
4630,pushpendra gout,Male,9/25/1984,armed-forces,kagal,Katni,Madhya Pradesh,781316,noone,prof-specialty,30,4630,suraj,life insurance for one person,10/14/2005,7/7/2020,7.5%,online,Pru Signature,HDFC Life Insurance Co. Ltd
4631,moola kondaredd,Male,28231,exec-managerial,jamkhed,palvancha,Andhra Pradesh,678101,noone,transport-moving,27,4631,Praveen,life insurance for one person,1/2/1991,7/7/2020,5%,online,Sampoorna samridhi plus,Life Insurance Corporation of India
4632,ANJALI MORE,female,9/11/1982,protective-serv,kalwan,Akola,Maharashtra,562126,noone,other-service,24,4632,Praveen,life insurance for one person,2/10/2007,7/7/2020,5%,online,Health insurance plan,HDFC Life Insurance Co. Ltd
4633,HEMANG MORPARIA,Male,23460,adm-clerical,kaij,Mumbai,Maharashtra,205121,noone,other-service,29,4633,Rahul,life insurance for one person,12/11/1992,7/7/2020,7.5%,online,jeevan anand,HDFC Life Insurance Co. Ltd
4634,blessing moses,Male,31942,craft-repair,chiplun,Chennai,Tamil Nadu,562120,noone,craft-repair,61,4634,Ajay,life insurance for one person,4/17/2005,7/7/2020,7.5%,online,jeevan labh,HDFC Life Insurance Co. Ltd
4635,sudheer raj,Male,6/27/1986,transport-moving,koraon,Pune,Maharashtra,845458,noone,sales,58,4635,Praveen,life insurance for one person,6/16/2003,7/7/2020,6%,online,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
4636,rama reddy,Male,4/22/1986,handlers-cleaners,kudal,0,Arunachal Pradesh,585321,noone,transport-moving,28,4636,Rahul,life insurance for one person,6/27/2006,7/7/2020,7.5%,offline,sampoorna nivesh,Life Insurance Corporation of India
4637,MOULI ATTHULURI,Male,6/15/1984,farming-fishing,indapur,Hyderabad,Andhra Pradesh,721139,noone,handlers-cleaners,25,4637,Ajay,life insurance for one person,9/28/2011,7/7/2020,7.5%,online,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
4638,VENKATA RAMA CH,Male,7/12/1980,handlers-cleaners,indapur,Chennai,Tamil Nadu,794111,noone,handlers-cleaners,41,4638,Praveen,life insurance for one person,11/13/2014,7/7/2020,7.5%,online,jeevan labh,Bajaj Allianz Life Insurance Co. Ltd.
4639,NARAYANA CHANDR,Male,12/25/1980,priv-house-serv,chalsigaon,Chennai,Tamil Nadu,441221,noone,armed-forces,26,4639,Ankit,life insurance for one person,2/18/1997,7/7/2020,6%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
4640,MAHESH MOULI,Male,6/12/1985,armed-forces,nunhai,Hyderabad,Andhra Pradesh,247551,noone,other-service,26,4640,suraj,life insurance for one person,9/15/1990,7/7/2020,6%,online,term insurance with return,Life Insurance Corporation of India
4641,raju mourya,Male,2/10/1985,craft-repair,bada,Bhabua,Bihar,431207,noone,exec-managerial,34,4641,suraj,life insurance for one person,6/18/1997,7/7/2020,7.5%,offline,jeevan anand,Max Life Insurance Co. Ltd.
4642,Mousoom Sinha,Male,9/14/1983,machine-op-inspct,Amravati,Neamatpur,West Bengal,271002,noone,exec-managerial,34,4642,Ajay,life insurance for one person,6/16/2003,7/7/2020,6%,offline,Pru Signature,Life Insurance Corporation of India
4643,PRAVEEN MOVVA,Male,6/12/1981,handlers-cleaners,dhola,Hyderabad,Andhra Pradesh,847223,noone,farming-fishing,29,4643,Ankit,life insurance for one person,4/8/1996,7/7/2020,7.5%,offline,Life Uday,Max Life Insurance Co. Ltd.
4644,MAHIPAL PASHIKA,Male,4/27/1982,other-service,lakhni,Warangal,Andhra Pradesh,455227,noone,adm-clerical,41,4644,Rahul,life insurance for one person,12/10/1993,7/7/2020,7.5%,online,jeevan anand,Life Insurance Corporation of India
4645,PATRICK JOHN,Male,11/25/1975,exec-managerial,korchi,Kochi,Kerala,282009,noone,prof-specialty,45,4645,Ankit,life insurance for one person,11/20/2008,7/7/2020,7.5%,offline,jeevan umang,Max Life Insurance Co. Ltd.
4646,bhat koti,Male,25326,craft-repair,pathardi,Gwalior,Madhya Pradesh,534341,noone,machine-op-inspct,32,4646,Ajay,life insurance for one person,1/5/1992,7/7/2020,5%,offline,Sampoorna samridhi plus,HDFC Life Insurance Co. Ltd
4647,pragna nachiket,Male,1/7/1984,protective-serv,jaoli,Hyderabad,Andhra Pradesh,486892,noone,farming-fishing,33,4647,Rahul,life insurance for one person,4/7/1999,7/7/2020,5%,offline,jeevan labh,Bajaj Allianz Life Insurance Co. Ltd.
4648,PRAMOD RAVI SHA,Male,11/16/1983,prof-specialty,jamkhed,Bangalore,Karnataka,121006,noone,exec-managerial,41,4648,suraj,life insurance for one person,5/24/2006,7/7/2020,6%,online,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
4649,Om Pal Singh,Male,29221,priv-house-serv,rahata,Hathras,Uttar Pradesh,313703,noone,tech-support,42,4649,suraj,life insurance for one person,8/8/2010,7/7/2020,6%,offline,sanchay,ICICI Prudential Life Insurance Co. Ltd
4650,saravanavel pon,Male,5/28/1981,sales,korchi,Vadodara,Gujarat,841507,noone,sales,59,4650,suraj,life insurance for one person,11/3/1991,7/7/2020,6%,online,sanchay,Life Insurance Corporation of India
4651,Amit Mishra,Male,8/28/1984,protective-serv,banda,Raipur,Chhatisgarh,365630,noone,prof-specialty,27,4651,Ajay,life insurance for one person,7/11/1991,7/7/2020,6%,offline,Life Uday,Max Life Insurance Co. Ltd.
4652,SANJIV SRIVASTA,Male,8/10/1976,tech-support,lakhandur,Lucknow,Uttar Pradesh,403404,noone,armed-forces,46,4652,Rahul,life insurance for one person,7/15/2011,7/7/2020,6%,offline,aadhar shila,HDFC Life Insurance Co. Ltd
4653,Saurav Kr.,Male,1/1/1986,priv-house-serv,azizpur,chatra,Jharkhand,464221,noone,machine-op-inspct,48,4653,Ankit,life insurance for one person,4/7/1999,7/7/2020,7.5%,offline,Health insurance plan,Max Life Insurance Co. Ltd.
4654,YALAMANCHILI SI,Male,8/29/1979,farming-fishing,Amravati,Hyderabad,Andhra Pradesh,125106,noone,handlers-cleaners,28,4654,Rahul,life insurance for one person,6/18/1998,7/7/2020,7.5%,offline,aadhar shila,Life Insurance Corporation of India
4655,busra ameena,Female,3/30/1965,exec-managerial,artauni,basti,Uttar Pradesh,132054,noone,handlers-cleaners,45,4655,suraj,life insurance for one person,9/21/2005,7/7/2020,5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
4656,VIJAY NAG,Male,29461,machine-op-inspct,amarpura,Hyderabad,Andhra Pradesh,416404,noone,sales,53,4656,Ankit,life insurance for one person,8/19/1995,7/7/2020,7.5%,online,Life Uday,ICICI Prudential Life Insurance Co. Ltd
4657,MANISH RANJAN,Male,1/1/1982,priv-house-serv,bhor,Pune,Maharashtra,781341,noone,priv-house-serv,36,4657,Ajay,life insurance for one person,1/4/2002,7/7/2020,6%,offline,Health insurance plan,Max Life Insurance Co. Ltd.
4658,MANOJ RANJAN,Male,9/12/1972,craft-repair,Akola,Cuttack,Orissa,736160,noone,tech-support,33,4658,Ankit,life insurance for one person,4/7/1999,7/7/2020,7.5%,online,jeevan umang,Max Life Insurance Co. Ltd.
4659,Madasamy Ravish,Male,21317,other-service,borivali,Chennai,Tamil Nadu,700138,noone,machine-op-inspct,40,4659,Praveen,life insurance for one person,4/8/2003,7/7/2020,7.5%,online,Term Insurance,Life Insurance Corporation of India
